new_id,batch,timestamp,old_run,new_run,old_config,new_config
001,1,2026-07-13T17:30:20.512519,000_smoke_smoke,001_smoke_smoke,,
002,1,2026-07-13T19:13:29.999199,001_baseline_r2plus1d,002_baseline_r2plus1d,001_baseline_r2plus1d,002_baseline_r2plus1d
003,1,2026-07-13T20:57:37.747964,002_onsetref_r2plus1d,003_onsetref_r2plus1d,002_onsetref_r2plus1d,003_onsetref_r2plus1d
004,1,2026-07-13T22:30:41.614667,003_flow_r2plus1d,004_flow_r2plus1d,003_flow_r2plus1d,004_flow_r2plus1d
005,1,2026-07-13T22:36:28.156173,000_smoke_2stream_smoke,005_smoke_2stream_smoke,,
006,1,2026-07-14T01:59:15.776057,004_twostream_flow_onsetref,006_twostream_flow_onsetref,004_twostream_flow_onsetref,006_twostream_flow_onsetref
007,1,2026-07-14T03:37:30.074548,005_flow_apex_tta,007_flow_apex_tta,005_flow_apex_tta,007_flow_apex_tta
008,1,2026-07-14T05:27:34.899109,006_flow_tta_lastk,008_flow_tta_lastk,006_flow_tta_lastk,008_flow_tta_lastk
009,1,2026-07-14T05:30:44.841342,000_smoke_tta_smoke,009_smoke_tta_smoke,,
010,1,2026-07-14T05:31:20,007_flow_ensemble_tta,010_flow_ensemble_tta,007_flow_ensemble_tta,010_flow_ensemble_tta
011,1,2026-07-14T13:07:55.964456,008_flow_t24,011_flow_t24,008_flow_t24,011_flow_t24
012,1,2026-07-14T15:24:25.198757,009_flow_res128,012_flow_res128,009_flow_res128,012_flow_res128
013,1,2026-07-14T15:25:16,010_flow_res128_ensemble,013_flow_res128_ensemble,010_flow_res128_ensemble,013_flow_res128_ensemble
014,1,2026-07-14T23:47:10.085968,011_objective,014_objective,011_objective,014_objective
015,1,2026-07-15T02:00:38.367231,012_strain,015_strain,012_strain,015_strain
016,1,2026-07-15T11:53:42.495229,013_4ch,016_4ch,013_4ch,016_4ch
017,1,2026-07-15T13:58:48.938760,014_r3d,017_r3d,014_r3d,017_r3d
018,1,2026-07-15T16:02:26.615880,015_mag5,018_mag5,015_mag5,018_mag5
019,1,2026-07-15T17:54:18.423940,016_mag_r3d,019_mag_r3d,016_mag_r3d,019_mag_r3d
020,1,2026-07-15T19:46:21.071507,017_mc3,020_mc3,017_mc3,020_mc3
021,1,2026-07-15T19:48:14.396617,000_smoke_focal_smoke,021_smoke_focal_smoke,,
022,1,2026-07-15T21:31:20.381783,018_focal,022_focal,018_focal,022_focal
023,1,2026-07-15T21:34:16,000_apex_ststnet_smoke,023_apex_ststnet_smoke,,
024,1,2026-07-15T21:35:44,000_apex_shallowcnn_smoke,024_apex_shallowcnn_smoke,,
025,1,2026-07-15T21:37:17,000_apex_shallowcnn,025_apex_shallowcnn,000_apex_shallowcnn,025_apex_shallowcnn
026,1,2026-07-15T23:41:00.692305,014_r3d_s123,026_r3d_s123,014_r3d_s123,026_r3d_s123
027,1,2026-07-15T23:47:14,000_twostage_r3d_smoke,027_twostage_r3d_smoke,,
028,1,2026-07-16T01:46:34.417903,019_mixup,028_mixup,019_mixup,028_mixup
029,1,2026-07-16T03:50:39.243841,013_obj6_r3d,029_obj6_r3d,013_obj6_r3d,029_obj6_r3d
030,1,2026-07-16T05:35:19.858094,013_obj6_mc3,030_obj6_mc3,013_obj6_mc3,030_obj6_mc3
031,2,2026-07-16T07:17:54.883165,013_obj6_focal,031_obj6_focal,013_obj6_focal,031_obj6_focal
032,2,2026-07-16T09:55:18.250182,013_obj6_4ch,032_obj6_4ch,013_obj6_4ch,032_obj6_4ch
033,2,2026-07-16T14:54:59.608402,020_ema_smoke,033_ema_smoke,,
034,2,2026-07-16T16:36:55.008619,020_ema,034_ema,020_ema,034_ema
035,2,2026-07-16T18:22:06.622204,021_freezebn,035_freezebn,021_freezebn,035_freezebn
